nome_uc,area_desmatada_ha
ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU,51653.28604624425
ESTAÇÃO ECOLÓGICA SOLDADO DA BORRACHA,22157.690691269687
FLORESTA NACIONAL DO JAMANXIM,10689.391167229584
ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,10010.719265728228
PARQUE ESTADUAL DE GUAJARÁ-MIRIM,7458.549356579195
RESERVA EXTRATIVISTA JACI-PARANÁ,7090.911469552165
ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO,4520.1098084127325
RESERVA EXTRATIVISTA CHICO MENDES,3919.174228321144
FLORESTA NACIONAL DE ALTAMIRA,2807.990938539321
RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT,2795.915652417419
